trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
6032,20,6019,,"Menetrendi(Települések közötti járat)",0,244 20,65,0
6033,19,6019,,"Menetrendi(Települések közötti járat)",0,244 19,5,0
6034,20,6019,,"Menetrendi(Települések közötti járat)",0,244 20,65,0
6035,19,6019,,"Menetrendi(Települések közötti járat)",0,244 19,5,0
6036,20,6019,,"Menetrendi(Települések közötti járat)",0,244 20,65,0
6037,19,6019,,"Menetrendi(Települések közötti járat)",0,244 19,5,0
6038,20,6019,,"Menetrendi(Települések közötti járat)",0,244 20,65,0
6039,19,6019,,"Menetrendi(Települések közötti járat)",0,244 19,5,0
6040,20,6019,,"Menetrendi(Települések közötti járat)",0,244 20,65,0
6041,19,6041,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6042,19,6041,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6043,19,6041,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6044,19,6041,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6045,20,6041,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6046,20,6041,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6047,20,6041,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6048,20,6041,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6049,19,6049,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6050,19,6049,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6051,19,6049,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6052,19,6049,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6053,19,6049,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6054,20,6049,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6055,20,6049,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6056,20,6049,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6057,20,6049,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6058,20,6049,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6059,19,6059,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6060,20,6059,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6061,3,6061,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6062,4,6061,,"Menetrendi(Települések közötti járat)",0,290 4,10,0
6063,3,6061,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6064,211,6061,,"Menetrendi(Települések közötti járat)",0,290 211,,0
6065,3,6061,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6066,211,6061,,"Menetrendi(Települések közötti járat)",0,290 211,,0
6067,3,6061,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6068,4,6061,,"Menetrendi(Települések közötti járat)",0,290 4,10,0
6069,3,5971,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6070,4,5971,,"Menetrendi(Települések közötti járat)",0,290 4,10,0
6071,3,5971,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6072,211,5971,,"Menetrendi(Települések közötti járat)",0,290 211,,0
6073,3,5971,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6074,211,5971,,"Menetrendi(Települések közötti járat)",0,290 211,,0
6075,3,5971,,"Menetrendi(Települések közötti járat)",0,290 3,7,0
6076,4,5971,,"Menetrendi(Települések közötti járat)",0,290 4,10,0
6077,3,6059,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6078,4,6059,,"Menetrendi(Települések közötti járat)",0,244 4,10,0
6079,3,6059,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6080,211,6059,,"Menetrendi(Települések közötti járat)",0,244 211,,0
6081,3,6059,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6082,211,6059,,"Menetrendi(Települések közötti járat)",0,244 211,,0
6083,3,6059,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6084,4,6059,,"Menetrendi(Települések közötti járat)",0,244 4,10,0
6085,79,6061,,"Menetrendi(Települések közötti járat)",0,249 79,3,0
6086,81,6061,,"Menetrendi(Települések közötti járat)",0,249 81,72,0
6087,79,5971,,"Menetrendi(Települések közötti járat)",0,249 79,3,0
6088,81,5971,,"Menetrendi(Települések közötti járat)",0,249 81,72,0
6089,79,6059,,"Menetrendi(Települések közötti járat)",0,249 79,3,0
6090,81,6059,,"Menetrendi(Települések közötti járat)",0,249 81,72,0
6091,102,6061,,"Menetrendi(Települések közötti járat)",0,250 102,234,0
6092,103,6061,,"Menetrendi(Települések közötti járat)",0,250 103,233,0
6093,39,6061,,"Menetrendi(Települések közötti járat)",0,250 39,202,0
6094,40,6061,,"Menetrendi(Települések közötti járat)",0,250 40,203,0
6095,102,6061,,"Menetrendi(Települések közötti járat)",0,250 102,234,0
6096,103,6061,,"Menetrendi(Települések közötti járat)",0,250 103,233,0
6097,102,5971,,"Menetrendi(Települések közötti járat)",0,253 102,234,0
6098,103,5971,,"Menetrendi(Települések közötti járat)",0,253 103,233,0
6099,39,5971,,"Menetrendi(Települések közötti járat)",0,253 39,202,0
6100,40,5971,,"Menetrendi(Települések közötti járat)",0,253 40,203,0
6101,102,5971,,"Menetrendi(Települések közötti járat)",0,253 102,234,0
6102,103,5971,,"Menetrendi(Települések közötti járat)",0,253 103,233,0
6103,102,6059,,"Menetrendi(Települések közötti járat)",0,250 102,234,0
6104,103,6059,,"Menetrendi(Települések közötti járat)",0,250 103,233,0
6105,39,6059,,"Menetrendi(Települések közötti járat)",0,250 39,202,0
6106,40,6059,,"Menetrendi(Települések közötti járat)",0,250 40,203,0
6107,102,6059,,"Menetrendi(Települések közötti járat)",0,250 102,234,0
6108,103,6059,,"Menetrendi(Települések közötti járat)",0,250 103,233,0
6109,95,6109,,"Menetrendi(Települések közötti járat)",0,241 95,59,0
6110,96,6109,,"Menetrendi(Települések közötti járat)",0,241 96,61,0
6111,95,6109,,"Menetrendi(Települések közötti járat)",0,241 95,59,0
6112,96,6109,,"Menetrendi(Települések közötti járat)",0,241 96,61,0
6113,95,6109,,"Menetrendi(Települések közötti járat)",0,243 95,59,0
6114,96,6109,,"Menetrendi(Települések közötti járat)",0,243 96,61,0
6115,97,6109,,"Menetrendi(Települések közötti járat)",0,243 97,236,0
6116,127,5927,,"Séta és nosztalgia hajó(Sétahajó)",0,290 127,38,0
6117,127,5935,,"Séta és nosztalgia hajó(Sétahajó)",0,290 127,38,0
6118,127,6049,,"Séta és nosztalgia hajó(Sétahajó)",0,245 127,38,0
6119,127,6059,,"Séta és nosztalgia hajó(Sétahajó)",0,245 127,38,0
6120,127,6120,,"Séta és nosztalgia hajó(Sétahajó)",0,249 127,38,0
6121,127,6120,,"Séta és nosztalgia hajó(Sétahajó)",0,249 127,38,0
6122,127,6120,,"Séta és nosztalgia hajó(Sétahajó)",0,249 127,38,0
6123,118,6123,,"Séta és nosztalgia hajó(Sétahajó)",0,249 118,28,0
6124,118,5971,,"Séta és nosztalgia hajó(Sétahajó)",0,249 118,28,0
6125,118,6125,,"Séta és nosztalgia hajó(Sétahajó)",0,249 118,28,0
6126,106,6126,,"",0,288 106,11,0
6127,106,6126,,"",0,288 106,11,0
6128,106,6126,,"",0,288 106,11,0
6129,106,6126,,"",0,288 106,11,0
6130,106,6130,,"",0,288 106,11,0
6131,106,6130,,"",0,288 106,11,0
6132,106,6130,,"",0,288 106,11,0
6133,106,6130,,"",0,288 106,11,0
6134,106,6134,,"",0,288 106,11,0
6135,106,6059,,"",0,288 106,11,0
6136,120,6126,,"",0,246 120,34,0
6137,120,6126,,"",0,246 120,34,0
6138,120,6126,,"",0,246 120,34,0
6139,120,6126,,"",0,246 120,34,0
6140,120,6130,,"",0,246 120,34,0
6141,120,6130,,"",0,246 120,34,0
6142,120,6130,,"",0,246 120,34,0
6143,120,6130,,"",0,246 120,34,0
6144,120,6134,,"",0,246 120,34,0
6145,120,6134,,"",0,255 120,34,0
6146,120,6134,,"",0,255 120,34,0
6147,120,6134,,"",0,255 120,34,0
6148,120,6134,,"",0,255 120,34,0
6149,120,6134,,"",0,255 120,34,0
6150,120,6059,,"",0,246 120,34,0
6151,120,6059,,"",0,255 120,34,0
6152,120,6059,,"",0,255 120,34,0
6153,120,6059,,"",0,255 120,34,0
6154,120,6059,,"",0,255 120,34,0
6155,120,6059,,"",0,255 120,34,0
6156,133,6126,,"",0,247 133,69,0
6157,133,6126,,"",0,247 133,69,0
6158,133,6126,,"",0,247 133,69,0
6159,133,6126,,"",0,247 133,69,0
6160,133,6130,,"",0,247 133,69,0
6161,133,6130,,"",0,247 133,69,0
6162,133,6130,,"",0,247 133,69,0
6163,133,6130,,"",0,247 133,69,0
6164,133,6134,,"",0,247 133,69,0
6165,133,6061,,"",0,254 133,69,0
6166,133,6061,,"",0,254 133,69,0
6167,133,6061,,"",0,254 133,69,0
6168,133,6061,,"",0,254 133,69,0
6169,133,6134,,"",0,254 133,69,0
6170,133,6059,,"",0,247 133,69,0
6171,133,6059,,"",0,254 133,69,0
6172,133,6059,,"",0,254 133,69,0
6173,133,6059,,"",0,254 133,69,0
6174,133,6059,,"",0,254 133,69,0
6175,133,6059,,"",0,254 133,69,0
6176,133,5971,,"",0,254 133,69,0
6177,133,5971,,"",0,254 133,69,0
6178,133,5971,,"",0,254 133,69,0
6179,133,5971,,"",0,254 133,69,0
6180,3,6180,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6181,4,6180,,"Menetrendi(Települések közötti járat)",0,244 4,10,0
6182,3,6180,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6183,211,6180,,"Menetrendi(Települések közötti járat)",0,244 211,,0
6184,3,6180,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6185,211,6180,,"Menetrendi(Települések közötti járat)",0,244 211,,0
6186,3,6180,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6187,4,6180,,"Menetrendi(Települések közötti járat)",0,244 4,10,0
6188,3,6188,,"Menetrendi(Települések közötti járat)",0,250 3,7,0
6189,4,6188,,"Menetrendi(Települések közötti járat)",0,250 4,10,0
6190,3,6188,,"Menetrendi(Települések közötti járat)",0,250 3,7,0
6191,211,6188,,"Menetrendi(Települések közötti járat)",0,250 211,,0
6192,3,6188,,"Menetrendi(Települések közötti járat)",0,250 3,7,0
6193,211,6188,,"Menetrendi(Települések közötti járat)",0,250 211,,0
6194,3,6188,,"Menetrendi(Települések közötti járat)",0,250 3,7,0
6195,4,6188,,"Menetrendi(Települések közötti járat)",0,250 4,10,0
6196,3,6196,,"Menetrendi(Települések közötti járat)",0,251 3,7,0
6197,4,6196,,"Menetrendi(Települések közötti járat)",0,251 4,10,0
6198,3,6196,,"Menetrendi(Települések közötti járat)",0,251 3,7,0
6199,211,6196,,"Menetrendi(Települések közötti járat)",0,251 211,,0
6200,3,6196,,"Menetrendi(Települések közötti járat)",0,251 3,7,0
6201,211,6196,,"Menetrendi(Települések közötti járat)",0,251 211,,0
6202,3,6196,,"Menetrendi(Települések közötti járat)",0,251 3,7,0
6203,4,6196,,"Menetrendi(Települések közötti járat)",0,251 4,10,0
6204,3,6204,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6205,4,6204,,"Menetrendi(Települések közötti járat)",0,244 4,10,0
6206,3,6204,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6207,211,6204,,"Menetrendi(Települések közötti járat)",0,244 211,,0
6208,3,6204,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6209,4,6204,,"Menetrendi(Települések közötti járat)",0,244 4,10,0
6210,3,6204,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6211,211,6204,,"Menetrendi(Települések közötti járat)",0,244 211,,0
6212,3,6204,,"Menetrendi(Települések közötti járat)",0,244 3,7,0
6213,4,6204,,"Menetrendi(Települések közötti járat)",0,244 4,10,0
6214,5,6180,,"Menetrendi(Települések közötti járat)",0,242 5,212,0
6215,104,6180,,"Menetrendi(Települések közötti járat)",0,242 104,204,0
6216,105,6180,,"Menetrendi(Települések közötti járat)",0,242 105,205,0
6217,15,6180,,"Menetrendi(Települések közötti járat)",0,242 15,61,0
6218,9,6180,,"Menetrendi(Települések közötti járat)",0,242 9,2,0
6219,40,6180,,"Menetrendi(Települések közötti járat)",0,242 40,203,0
6220,39,6180,,"Menetrendi(Települések közötti járat)",0,242 39,202,0
6221,10,6180,,"Menetrendi(Települések közötti járat)",0,242 10,62,0
6222,5,6188,,"Menetrendi(Települések közötti járat)",0,252 5,212,0
6223,104,6188,,"Menetrendi(Települések közötti járat)",0,252 104,204,0
6224,105,6188,,"Menetrendi(Települések közötti járat)",0,252 105,205,0
6225,15,6188,,"Menetrendi(Települések közötti járat)",0,252 15,61,0
6226,9,6188,,"Menetrendi(Települések közötti járat)",0,252 9,2,0
6227,105,6188,,"Menetrendi(Települések közötti járat)",0,252 105,205,0
6228,104,6188,,"Menetrendi(Települések közötti járat)",0,252 104,204,0
6229,10,6188,,"Menetrendi(Települések közötti járat)",0,252 10,62,0
6230,5,6196,,"Menetrendi(Települések közötti járat)",0,253 5,212,0
6231,104,6196,,"Menetrendi(Települések közötti járat)",0,253 104,204,0
6232,105,6196,,"Menetrendi(Települések közötti járat)",0,253 105,205,0
6233,15,6196,,"Menetrendi(Települések közötti járat)",0,253 15,61,0
6234,9,6196,,"Menetrendi(Települések közötti járat)",0,253 9,2,0
6235,105,6196,,"Menetrendi(Települések közötti járat)",0,253 105,205,0
6236,104,6196,,"Menetrendi(Települések közötti járat)",0,253 104,204,0
6237,10,6196,,"Menetrendi(Települések közötti járat)",0,253 10,62,0
6238,5,6204,,"Menetrendi(Települések közötti járat)",0,242 5,212,0
6239,104,6204,,"Menetrendi(Települések közötti járat)",0,242 104,204,0
6240,105,6204,,"Menetrendi(Települések közötti járat)",0,242 105,205,0
6241,15,6204,,"Menetrendi(Települések közötti járat)",0,242 15,61,0
6242,9,6242,,"Menetrendi(Települések közötti járat)",0,242 9,2,0
6243,10,6242,,"Menetrendi(Települések közötti járat)",0,242 10,62,0
6244,9,6204,,"Menetrendi(Települések közötti járat)",0,242 9,2,0
6245,40,6204,,"Menetrendi(Települések közötti járat)",0,242 40,203,0
6246,39,6204,,"Menetrendi(Települések közötti járat)",0,242 39,202,0
6247,10,6204,,"Menetrendi(Települések közötti járat)",0,242 10,62,0
6248,98,6248,,"Menetrendi(Települések közötti járat)",0,241 98,209,0
6249,5,6248,,"Menetrendi(Települések közötti járat)",0,241 5,212,0
6250,6,6248,,"Menetrendi(Települések közötti járat)",0,241 6,213,0
6251,5,6248,,"Menetrendi(Települések közötti járat)",0,241 5,212,0
6252,104,6248,,"Menetrendi(Települések közötti járat)",0,241 104,204,0
6253,105,6248,,"Menetrendi(Települések közötti járat)",0,241 105,205,0
6254,6,6248,,"Menetrendi(Települések közötti járat)",0,241 6,213,0
6255,9,6248,,"Menetrendi(Települések közötti járat)",0,241 9,2,0
6256,9,6248,,"Menetrendi(Települések közötti járat)",0,289 9,2,0
6257,10,6248,,"Menetrendi(Települések közötti járat)",0,289 10,62,0
6258,9,6248,,"Menetrendi(Települések közötti járat)",0,289 9,2,0
6259,10,6248,,"Menetrendi(Települések közötti járat)",0,289 10,62,0
6260,9,6248,,"Menetrendi(Települések közötti járat)",0,289 9,2,0
6261,10,6248,,"Menetrendi(Települések közötti járat)",0,289 10,62,0
6262,10,6262,,"Menetrendi(Települések közötti járat)",0,289 10,62,0
6263,9,6262,,"Menetrendi(Települések közötti járat)",0,289 9,2,0
6264,10,6204,,"Menetrendi(Települések közötti járat)",0,289 10,62,0
6265,9,6204,,"Menetrendi(Települések közötti járat)",0,289 9,2,0
6266,19,6266,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6267,20,6266,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6268,19,6266,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6269,20,6266,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6270,19,6266,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6271,20,6266,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6272,19,6266,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6273,20,6266,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6274,19,6266,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6275,20,6266,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6276,19,6262,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6277,20,6262,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6278,19,6262,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6279,20,6262,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6280,19,6262,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6281,20,6262,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6282,19,6262,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6283,20,6262,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6284,19,6262,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6285,20,6262,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6286,19,6262,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6287,20,6262,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6288,19,6262,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6289,20,6262,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6290,19,6262,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6291,20,6262,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6292,19,6262,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6293,20,6262,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6294,19,6204,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6295,20,6204,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6296,19,6204,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6297,20,6204,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6298,19,6204,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6299,20,6204,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6300,19,6204,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6301,20,6204,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6302,19,6204,,"Menetrendi(Települések közötti járat)",0,245 19,5,0
6303,20,6204,,"Menetrendi(Települések közötti járat)",0,245 20,65,0
6304,19,6204,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6305,20,6204,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6306,19,6204,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6307,20,6204,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6308,19,6204,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6309,20,6204,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6310,19,6204,,"Menetrendi(Települések közötti járat)",0,290 19,5,0
6311,20,6204,,"Menetrendi(Települések közötti járat)",0,290 20,65,0
6312,27,6312,,"Menetrendi(Települések közötti járat)",0,251 27,218,0
6313,102,6313,,"Menetrendi(Települések közötti járat)",0,251 102,234,0
6314,103,6314,,"Menetrendi(Települések közötti járat)",0,251 103,233,0
6315,39,6314,,"Menetrendi(Települések közötti járat)",0,251 39,202,0
6316,40,6314,,"Menetrendi(Települések közötti járat)",0,251 40,203,0
6317,102,6314,,"Menetrendi(Települések közötti járat)",0,251 102,234,0
6318,29,6312,,"Menetrendi(Települések közötti járat)",0,251 29,220,0
6319,103,6313,,"Menetrendi(Települések közötti járat)",0,251 103,233,0
6320,27,6320,,"Menetrendi(Települések közötti járat)",0,253 27,218,0
6321,103,6320,,"Menetrendi(Települések közötti járat)",0,253 103,233,0
6322,39,6320,,"Menetrendi(Települések közötti járat)",0,253 39,202,0
6323,40,6320,,"Menetrendi(Települések közötti járat)",0,253 40,203,0
6324,102,6320,,"Menetrendi(Települések közötti járat)",0,253 102,234,0
